Gross Output by Industry
Gross Output by Industry
"Last Revised on: March 30, 2023"
Line,,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
1,"        All industries",37584.4,34056.5,36755.8,37851.3,39371.3,40874.4,42080.3,43293.0,44579.4,45972.9,46562.9,46736.2
2,Private industries,33411.7,29927.4,32587.3,33646.1,35006.8,36442.1,37582.2,38717.6,39908.4,41156.8,41675.7,41782.7
3,"    Agriculture, forestry, fishing, and hunting",459.7,411.1,444.4,475.9,478.6,531.0,548.4,546.2,598.1,640.4,653.4,656.4
4,"        Farms",406.1,361.4,391.1,418.9,420.6,473.1,487.7,485.3,533.7,576.1,584.7,589.2
5,"        Forestry, fishing, and related activities",53.6,49.7,53.3,57.0,58.1,57.9,60.7,60.9,64.4,64.3,68.6,67.2
6,"    Mining",530.5,320.7,382.8,431.3,510.9,598.3,651.8,753.0,823.0,976.8,951.7,813.5
7,"        Oil and gas extraction",324.3,179.8,237.8,279.2,345.2,425.7,476.7,575.4,625.6,773.1,747.5,613.5
8,"        Mining, except oil and gas",104.7,90.0,98.0,99.4,107.6,108.6,109.6,110.0,123.2,127.2,125.5,121.0
9,"        Support activities for mining",101.4,50.9,46.9,52.8,58.1,64.0,65.6,67.6,74.2,76.5,78.6,79.0
10,"    Utilities",513.8,512.8,538.8,557.2,623.1,618.1,646.7,687.9,694.3,796.6,829.1,773.7
11,"    Construction",1811.3,1742.2,1781.5,1848.6,1916.1,1949.4,1975.6,2016.7,2067.3,2078.2,2078.5,2104.9
12,"    Manufacturing",5779.3,4968.5,5558.3,5698.8,5987.1,6185.0,6410.5,6692.3,6971.6,7312.5,7338.5,7358.6
13,"        Durable goods",2932.2,2485.3,2887.6,2964.8,3082.3,3151.8,3253.4,3383.7,3498.0,3629.6,3706.5,3772.5
14,"            Wood products",115.0,111.0,126.5,137.3,142.3,150.6,153.6,153.9,156.3,160.1,159.1,156.6
15,"            Nonmetallic mineral products",134.2,130.1,136.3,140.4,141.9,144.0,147.1,152.3,156.7,157.2,156.8,157.5
16,"            Primary metals",217.0,172.4,188.7,216.0,231.8,254.0,274.3,290.0,294.3,309.4,301.3,294.6
17,"            Fabricated metal products",375.6,330.0,345.6,357.1,375.0,382.3,398.6,419.6,435.7,442.8,443.5,442.6
18,"            Machinery",373.6,336.5,356.6,372.9,387.0,406.5,425.2,440.3,460.0,468.5,478.8,490.1
19,"            Computer and electronic products",380.6,366.6,366.5,383.8,392.7,400.7,406.2,410.0,424.9,432.2,442.1,450.1
20,"            Electrical equipment, appliances, and components",130.7,121.7,126.0,130.7,138.4,140.8,146.1,151.4,155.5,159.3,160.9,164.6
21,"            Motor vehicles, bodies and trailers, and parts",662.0,451.7,747.8,715.4,741.3,713.1,712.7,765.6,788.8,862.8,895.4,905.1
22,"            Other transportation equipment",309.8,239.1,255.8,267.8,278.2,301.1,324.0,328.7,345.2,352.6,382.3,422.8
23,"            Furniture and related products",75.0,71.3,73.4,74.7,76.6,78.5,81.5,81.9,85.3,86.8,87.9,88.0
24,"            Miscellaneous manufacturing",158.7,154.8,164.3,168.6,177.0,180.2,184.1,190.1,195.2,198.1,198.4,200.3
25,"        Nondurable goods",2847.2,2483.2,2670.7,2734.0,2904.8,3033.2,3157.1,3308.6,3473.5,3682.9,3632.0,3586.1
26,"            Food and beverage and tobacco products",1001.7,979.9,1012.1,1021.4,1025.0,1051.3,1063.1,1074.5,1095.8,1107.7,1124.5,1128.4
27,"            Textile mills and textile product mills",48.5,43.0,47.1,49.4,50.5,51.9,52.5,54.0,54.0,54.6,54.1,53.0
28,"            Apparel and leather and allied products",16.5,15.1,17.1,19.1,20.6,22.5,23.0,24.1,24.6,26.0,25.6,27.6
29,"            Paper products",180.2,175.7,175.9,180.9,186.1,190.6,193.2,197.3,199.9,200.0,198.4,199.5
30,"            Printing and related support activities",81.3,71.4,76.1,77.0,77.2,78.4,78.4,80.9,83.8,86.6,88.4,89.0
31,"            Petroleum and coal products",495.9,227.9,338.2,359.1,501.5,567.2,639.7,723.2,854.1,1026.7,950.7,899.3
32,"            Chemical products",777.9,743.1,765.8,787.9,805.5,830.9,858.1,894.6,896.8,911.1,924.8,922.5
33,"            Plastics and rubber products",245.1,227.2,238.4,239.3,238.3,240.4,249.2,260.0,264.5,270.1,265.5,266.7
34,"    Wholesale trade",2094.4,1813.6,2077.9,2154.1,2269.9,2405.5,2476.3,2551.8,2719.0,2778.7,2779.0,2748.4
35,"    Retail trade",1952.2,1885.1,2135.7,2142.8,2285.9,2383.4,2371.8,2424.3,2507.7,2557.1,2580.7,2577.9
36,"        Motor vehicle and parts dealers",289.3,276.4,329.4,336.4,366.5,402.6,372.7,380.5,404.6,399.1,394.9,394.9
