"","State","Number of days effective","Effective_Initial","Effective_Updated","EOT_Initial","EOT_Updated"
"1","Hawaii","704","April 20, 2020 - March 26, 2022",NA,"Executive order","Executive order"
"2","Oregon","365;212","July 1, 2020 - June 30, 2021","August 13, 2021 - March 12, 2022","Executive order","Executive order"
"3","Washington","625","June 26 , 2020 - March 12, 2022",NA,"Executive order","Executive order"
"4","California","622","June 18, 2020 - March 1, 2022",NA,"Executive order","Executive order"
"5","Illinois","407;183","May 1, 2020 - June 11, 2021","August 30, 2021 - February 28, 2022","Executive order","Executive order"
"6","Connecticut","683","April 17, 2020 - February 28, 2022",NA,"Executive order","Executive order"
"7","New Mexico","644","May 15, 2020 - February 17, 2022",NA,"Executive order","Executive order"
"8","Delaware","386;32","May 1, 2020 - May 21, 2021","January 11, 2022 - February 11, 2022","Executive order","Executive order"
"9","Rhode Island","442;54","April 20, 2020 - July 6, 2021","December 20, 2021 - February 11, 2022","Executive order","Executive order"
"10","Nevada","596","June 25, 2020 - February 10, 2022",NA,"Executive order","Executive order"
"11","New York","650;16","April 15, 2020 - January 25, 2022","January 25, 2022 - February 10, 2022","Court order","Executive order"
"12","Louisiana","290;86","July 13, 2020 - April 28, 2021","August 2, 2021 - October 26, 2021","Executive order","Executive order"
"13","Pennsylvania","438","April 17, 2020 - June 28, 2021",NA,"Executive order","Executive order"
"14","Michigan","423","April 26, 2020 - June 22, 2021",NA,"Executive order","Executive order"
"15","West Virginia","349","July 7, 2020 - June 20, 2021",NA,"Executive order","Executive order"
"16","Vermont","318","August 1, 2020 - June 14, 2021",NA,"Executive order","Executive order"
"17","Kentucky","337","July 10, 2020 - June 11, 2021",NA,"Executive order","Executive order"
"18","Ohio","315","July 23, 2020 - June 2, 2021",NA,"Executive order","Executive order"
"19","Massachusetts","388","May 6, 2020 - May 29, 2021",NA,"Executive order","Executive order"
"20","New Jersey","414","April 10, 2020 - May 28, 2021",NA,"Executive order","Executive order"
"21","Maine","389","May 1, 2020 - May 24, 2021",NA,"Executive order","Executive order"
"22","Virginia","351","May 29, 2020 - May 15, 2021",NA,"Executive order","Executive order"
"23","Maryland","393","April 18, 2020 - May 15, 2021",NA,"Executive order","Executive order"
"24","Colorado","302","July 17, 2020 - May 14, 2021",NA,"Executive order","Executive order"
"25","Minnesota","294","July 25, 2020 - May 14, 2021",NA,"Executive order","Executive order"
"26","North Carolina","323","June 26, 2020 - May 14, 2021",NA,"Executive order","Executive order"
"27","New Hampshire","148","November 20, 2020 - April 16, 2021",NA,"Executive order","Executive order"
"28","Utah","153","November 9, 2020 - April 10, 2021",NA,"Legislative action","Legislative action"
"29","Alabama","268","July 16, 2020 - April 9, 2021",NA,"Executive order","Executive order"
"30","Indiana","254","July 27, 2020 - April 6, 2021",NA,"Executive order","Executive order"
"31","Kansas","273","July 3, 2020 - April 1, 2021",NA,"Executive order","Executive order"
"32","Wisconsin","242","August 1, 2020 - March 31, 2021",NA,"Court order","Court order"
"33","Arkansas","254","July 20, 2020 - March 30, 2021",NA,"Legislative action","Legislative action"
"34","Wyoming","97","December 9, 2020 - March 16, 2021",NA,"Executive order","Executive order"
"35","Texas","250","July 3, 2020 - March 10, 2021",NA,"Executive order","Executive order"
"36","Montana","212","July 15, 2020 - February 12, 2021",NA,"Executive order","Executive order"
"37","Iowa","82","November 17, 2020 - February 7, 2021",NA,"Executive order","Executive order"
"38","North Dakota","65","November 14, 2020 - January 18, 2021",NA,"Executive order","Executive order"
"39","Mississippi","56","August 5, 2020 - September 30, 2020",NA,"Executive order","Executive order"
"40","Alaska","None","None",NA,"None","None"
"41","Arizona","None","None",NA,"None","None"
"42","Florida","None","None",NA,"None","None"
"43","Georgia","None","None",NA,"None","None"
"44","Idaho","None","None",NA,"None","None"
"45","Montana","None","None",NA,"None","None"
"46","Nebraska","None","None",NA,"None","None"
"47","Oklahoma","None","None",NA,"None","None"
"48","South Carolina","None","None",NA,"None","None"
"49","South Dakota","None","None",NA,"None","None"
"50","Tennessee","None","None",NA,"None","None"
