state_name,TJLI,fips,densityMi,pop2023,pop2022,pop2020,pop2019,pop2010,growthRate,growth,growthSince2010,lifeQualityRank_21,healthCareRank_21,educationRank_21,economyRank_21,infrastructureRank_21,oppurtunityRank_21,fiscalStabilityRank_21,crimeAndCorrectionsRank_21,naturalEnvironmentRank_21,lifeQualityRank_18,healthCareRank_18,educationRank_18,economyRank_18,oppurtunityRank_18,infrastructureRank_18,crimeAndCorrectionsRank_18,fiscalStabilityRank_18,naturalEnvironmentRank_18,iso_3166_2,JLP
Alabama,36726,1,100.65438,5097641,5073187,5024279,4999822,4779736,0.00482,24454,0.06651,46,45,47,38,28,37,22,43,37,46,46,47,38,48,32,42,25,35,AL,0.007309705531878305
Alaska,15374,2,1.29738,740339,738023,733391,731075,710231,0.00314,2316,0.04239,45,22,49,50,40,43,1,49,46,44,28,40,50,5,42,50,47,19,AK,0.02096289700855342
Arizona,19981,4,64.96246,7379346,7303398,7151502,7075549,6392017,0.0104,75948,0.15446,39,21,46,7,23,40,40,38,41,39,24,43,16,45,12,38,34,39,AZ,0.002793958527872886
Arkansas,8849,5,58.42619,3040207,3030646,3011524,3001967,2915918,0.00315,9561,0.04262,44,49,41,41,43,22,14,48,30,45,49,42,40,41,46,47,20,7,AR,0.0029383793720388746
California,722740,6,258.20877,40223504,39995077,39538223,39309799,37253956,0.00571,228427,0.07971,24,5,20,10,31,50,36,28,35,31,11,26,4,46,38,17,43,50,CA,0.01827952662414798
Colorado,49566,8,57.86332,5997070,5922618,5773714,5699264,5029196,0.01257,74452,0.19245,16,10,5,2,15,41,45,41,23,10,9,20,1,28,14,29,31,10,CO,0.00858476883337138
Connecticut,53769,9,746.69537,3615499,3612314,3605944,3602762,3574097,8.8e-4,3185,0.01158,20,3,6,22,46,45,30,6,28,24,4,14,43,29,41,8,41,38,CT,0.01491121326343393
Delaware,13055,10,522.08876,1017551,1008350,989948,980743,897934,0.00912,9201,0.13321,23,14,24,24,25,14,12,39,45,18,25,32,10,7,18,46,15,24,DE,0.013187561366859673
Florida,255017,12,416.95573,22359251,22085563,21538187,21264502,18801310,0.01239,273688,0.18924,10,25,3,8,20,33,8,26,18,15,34,7,5,36,11,32,3,33,FL,0.011840225920593967
Georgia,64345,13,191.5947,11019186,10916760,10711908,10609487,9687653,0.00938,102426,0.13745,18,43,26,12,11,13,11,29,25,32,42,31,14,33,17,35,13,32,GA,0.006006866377119744
Hawaii,54557,15,231.00763,1483762,1474265,1455271,1445774,1360301,0.00644,9497,0.09076,25,1,27,46,33,34,46,12,1,17,1,29,23,18,27,16,35,36,HI,0.037489237399769525
Idaho,-12855,16,23.23926,1920562,1893410,1839106,1811950,1567582,0.01434,27152,0.22517,5,24,29,3,10,24,4,10,12,12,18,30,7,42,10,6,7,20,ID,-0.006989809179025026
Illinois,237963,17,230.67908,12807072,12808884,12812508,12814324,12830632,-1.4e-4,-1812,-0.00184,30,23,11,39,26,12,50,16,43,35,27,24,39,22,13,25,50,47,IL,0.018572710354600366
Indiana,64417,18,191.92896,6876047,6845874,6785528,6755359,6483802,0.00441,30173,0.0605,32,32,22,21,32,7,32,24,48,33,40,35,25,11,30,30,8,48,IN,0.009493292194800464
Iowa,43277,19,57.89018,3233572,3219171,3190369,3175964,3046355,0.00447,14401,0.06146,12,20,18,27,19,1,23,14,20,1,3,5,17,4,1,15,21,9,IA,0.01356488857558483
Kansas,27804,20,36.24443,2963308,2954832,2937880,2929402,2853118,0.00287,8476,0.03862,26,41,23,31,7,16,39,27,16,29,30,21,43,12,16,37,39,16,KS,0.00946396721445396
Kentucky,47748,21,115.37702,4555777,4539130,4505836,4489190,4339367,0.00367,16647,0.04987,41,44,36,40,18,20,48,13,29,41,45,34,45,30,22,9,46,27,KY,0.010596923634149135
Louisiana,79593,22,108.67214,4695071,4682633,4657757,4645314,4533372,0.00266,12438,0.03567,50,46,48,47,47,48,42,50,49,50,47,49,44,50,44,48,48,42,LA,0.01708826802256966
Maine,12110,23,44.50148,1372559,1369159,1362359,1358961,1328361,0.00248,3400,0.03327,27,26,28,36,37,29,26,2,14,22,22,19,37,26,43,1,29,12,ME,0.008888993282974605
Maryland,89305,24,648.84362,6298325,6257958,6177224,6136855,5773552,0.00645,40367,0.09089,17,6,14,35,38,15,29,22,11,13,16,11,24,2,25,28,23,31,MD,0.014457141266044424
Massachusetts,155355,25,919.82103,7174604,7126375,7029917,6981690,6547629,0.00677,48229,0.09576,9,2,2,5,42,36,43,4,4,8,5,1,9,14,45,5,40,25,MA,0.022099122934168356
Michigan,195599,26,179.26454,10135438,10116069,10077331,10057961,9883640,0.00191,19369,0.02548,38,35,38,29,35,5,38,30,32,37,32,36,22,20,40,33,32,29,MI,0.019409802059692196
Minnesota,93285,27,73.18202,5827265,5787008,5706494,5666238,5303925,0.00696,40257,0.09867,2,16,17,15,9,2,21,15,10,2,7,13,20,3,6,10,24,2,MN,0.016347165177077204
