"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","0","10","50","0","2022","3","",150070,2022170,2023755,2031595,29506998383,2089101511,28198364,1120,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8767,6.2,54152,2.8,57544,2.9,62189,3.2,3222556791,12.3,129440360,6.6,-4982239,-15.0,93,9.1
"01000","1","10","51","0","2022","3","",1260,55115,54987,55183,1257968097,0,0,1756,"",1.60,1.42,1.43,1.43,1.64,0.00,0.00,1.15,"",3,0.2,-278,-0.5,-440,-0.8,-382,-0.7,39954717,3.3,0,0.0,0,0.0,67,4.0
"01000","2","10","51","0","2022","3","",1386,95975,96171,97521,1539834939,42426,297,1227,"",1.50,1.59,1.59,1.58,1.58,0.00,0.01,0.99,"",14,1.0,349,0.4,534,0.6,785,0.8,122551111,8.6,-17968,-29.8,-398,-57.3,91,8.0
"01000","3","10","51","0","2022","3","",3754,207943,210277,213852,2815019798,12854860,114677,1028,"",1.69,1.26,1.21,1.13,1.23,0.37,0.74,1.03,"",5,0.1,2325,1.1,1995,1.0,2609,1.2,246291530,9.6,1682605,15.1,-33384,-22.5,80,8.4
"01000","5","10","51","0","2022","3","",143670,1663137,1662320,1665039,23894175549,2076204225,28083390,1105,"",0.98,0.95,0.95,0.96,0.94,1.02,1.00,0.99,"",8745,6.5,51756,3.2,55455,3.5,59177,3.7,2813759433,13.3,127775723,6.6,-4948457,-15.0,97,9.6
"01000","8","10","96","0","2022","3","",6400,359033,361435,366556,5612822834,12897286,114974,1192,"",1.63,1.36,1.32,1.26,1.39,0.24,0.66,1.06,"",22,0.3,2396,0.7,2089,0.6,3012,0.8,408797358,7.9,1664637,14.8,-33782,-22.7,80,7.2
"01001","0","10","70","0","2022","3","",1017,11568,11620,11623,137127595,10984906,146077,909,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",39,4.0,418,3.7,573,5.2,475,4.3,11981134,9.6,362401,3.4,-40868,-21.9,43,5.0
"01001","1","10","71","0","2022","3","",10,89,87,83,1374596,0,0,1225,"",1.88,0.40,0.39,0.38,0.39,0.00,0.00,0.99,"",0,0.0,14,18.7,6,7.4,6,7.8,269200,24.4,0,0.0,0,0.0,130,11.9
"01001","2","10","71","0","2022","3","",18,549,556,547,8745496,0,0,1222,"",2.88,1.59,1.60,1.55,1.93,0.00,0.00,1.22,"",0,0.0,-4,-0.7,-2,-0.4,-15,-2.7,64582,0.7,0,0.0,0,0.0,25,2.1
"01001","3","10","71","0","2022","3","",31,1794,1848,1858,22620500,3197,23,949,"",2.06,1.90,1.85,1.71,2.12,0.02,0.03,1.17,"",-1,-3.1,1,0.1,39,2.2,-67,-3.5,890501,4.1,-13193,-80.5,-166,-87.8,42,4.6
